Time,V(I=0.0),V(I=0.3),V(I=0.6)
0.0,0.0,0.0,0.0
0.5,-0.006999999999999999,0.1804296875,0.3674375
1.0,-0.035303932340715966,0.44863161480024905,0.9032203901016382
1.5,-0.09706298677119612,0.8208434686672864,1.4587354099950818
2.0,-0.21088859145668917,1.2304556468319563,1.7140125679927327
2.5,-0.40295544475553347,1.508035770997246,1.7842482494973448
3.0,-0.6986512611383078,1.6180590415901999,1.7959342846576691
3.5,-1.0800139383854659,1.6448301545585335,1.7832571658079617
4.0,-1.420145512153733,1.635197718627385,1.7586474275930066
4.5,-1.6010999483521764,1.6081543653743027,1.7277529216775183
5.0,-1.6713149088451444,1.572000779856604,1.6933866255814787
5.5,-1.6929888783398876,1.5305507212461118,1.6569679945938756
6.0,-1.6932432692424282,1.4855192738617053,1.619184143537064
6.5,-1.6835448968598883,1.4375635830137607,1.5803289857886322
7.0,-1.6691410364481953,1.3867593035233183,1.5404810639635644
7.5,-1.6525602665284698,1.3328071741040923,1.4995938427031537
8.0,-1.6350537151616487,1.2750944652331864,1.4575376168418535
8.5,-1.6172492123700661,1.212660622861854,1.4141141055607178
9.0,-1.5994651616503264,1.1440721239049596,1.3690542082793478
9.5,-1.5818651319049823,1.0671719000103608,1.322002897961446
10.0,-1.5645348663860796,0.9786108331332497,1.2724907515769746
10.5,-1.5475208508911935,0.872955058853383,1.2198875356364445
11.0,-1.5308497024519894,0.7409112044652824,1.163327928247586
11.5,-1.5145379541815436,0.5656451762744938,1.1015905133027442
12.0,-1.4985970148305219,0.31507200676414493,1.0328942336264426
12.5,-1.483035692877916,-0.07207671065287413,0.9545421780697767
13.0,-1.4678614834491146,-0.686673571084993,0.8622697014337638
13.5,-1.4530812211399204,-1.4598526272173686,0.74899326378205
14.0,-1.4387014037682015,-1.8201666026073082,0.6022982045173646
14.5,-1.4247283422545418,-1.903213988813951,0.3992641824114624
15.0,-1.4111682161428503,-1.9285200375375935,0.09640895053627907
15.5,-1.3980270758034474,-1.9307353875575095,-0.38143893912825605
16.0,-1.3853108126898612,-1.9210255897232464,-1.083862792320159
16.5,-1.3730251089129653,-1.9045093790471643,-1.68627925534458
17.0,-1.3611753722008217,-1.8840084719457806,-1.8488680808846047
17.5,-1.349766659671409,-1.8612166498200837,-1.8940223833828884
18.0,-1.3388035925534938,-1.8371741275541504,-1.902485781125796
18.5,-1.3282902634267302,-1.8125122829819984,-1.8939572997697365
19.0,-1.3182301373906515,-1.7876038001760728,-1.8762681522855718
19.5,-1.3086259486396943,-1.7626614016799516,-1.8533816099683293
20.0,-1.2994795941206325,-1.7378024159587537,-1.8275409976478088
20.5,-1.2907920262211148,-1.7130894088293047,-1.8000597983732578
21.0,-1.2825631467430816,-1.688554588506065,-1.771699780069257
21.5,-1.2747917047205712,-1.6642138338286039,-1.7428889643106649
22.0,-1.267475200918639,-1.640074460854203,-1.7138571832164313
22.5,-1.2606098020704801,-1.6161393954553087,-1.684720162373925
23.0,-1.2541902680455177,-1.592409365262832,-1.655529782906523
23.5,-1.2482098951656069,-1.568884034378693,-1.626302776608136
24.0,-1.2426604787760664,-1.5455625874001413,-1.5970363752057062
24.5,-1.23753229791454,-1.5224440318707604,-1.5677164553238268
25.0,-1.2328141244929556,-1.4995273588642515,-1.5383215286422804
25.5,-1.228493258815245,-1.4768116331264742,-1.5088244762384075
26.0,-1.2245555925070497,-1.4542960490169148,-1.479193044808648
26.5,-1.220985699057312,-1.431979970667611,-1.4493896180310153
27.0,-1.2177669512022409,-1.409862965863649,-1.4193704965178116
27.5,-1.2148816633678756,-1.387944838744019,-1.3890847629835001
28.0,-1.2123112563851408,-1.3662256642835247,-1.3584727135229537
28.5,-1.2100364407621094,-1.3447058265215348,-1.3274637646204601
29.0,-1.2080374140027326,-1.3233860620945608,-1.2959736755936657
29.5,-1.206294066853928,-1.3022675105342305,-1.2639008397613372
30.0,-1.204786192986586,-1.2813517728795596,-1.2311212758424608
30.5,-1.203493696497903,-1.2606409803632919,-1.1974817680355532
31.0,-1.2023967917709235,-1.2401378752439844,-1.1627903179085481
31.5,-1.2014761906311437,-1.2198459062657903,-1.126802614358599
32.0,-1.2007132723698328,-1.1997693417456812,-1.089202477693017
32.5,-1.2000902330142151,-1.179913403930413,-1.0495729695582139
33.0,-1.1995902111597394,-1.1602844290566723,-1.00735266952916
33.5,-1.1991973886776637,-1.140890058517264,-0.9617677066411565
